"Gene","GO"
"YBL076C","GO:0006428"
"YBL076C","GO:0016874"
"YBL076C","GO:0044281"
"YBL076C","GO:0106074"
"YBL076C","GO:0000166"
"YBL076C","GO:0002161"
"YBL076C","GO:0004812"
"YBL076C","GO:0004822"
"YBL076C","GO:0005524"
"YBL076C","GO:0005737"
"YBL076C","GO:0005829"
"YBL076C","GO:0006412"
"YBL078C","GO:0000045"
"YBL078C","GO:0005774"
"YBL078C","GO:0005776"
"YBL078C","GO:0005829"
"YBL078C","GO:0006888"
"YBL078C","GO:0006914"
"YBL078C","GO:0006995"
"YBL078C","GO:0008429"
"YBL078C","GO:0015031"
"YBL078C","GO:0016020"
"YBL078C","GO:0016236"
"YBL078C","GO:0000329"
"YBL078C","GO:0016241"
"YBL078C","GO:0019898"
"YBL078C","GO:0031386"
"YBL078C","GO:0031410"
"YBL078C","GO:0031503"
"YBL078C","GO:0031966"
"YBL078C","GO:0032258"
"YBL078C","GO:0033110"
"YBL078C","GO:0034497"
"YBL078C","GO:0034629"
"YBL078C","GO:0000407"
"YBL078C","GO:0034727"
"YBL078C","GO:0044805"
"YBL078C","GO:0061025"
"YBL078C","GO:0061709"
"YBL078C","GO:0071211"
"YBL078C","GO:0120095"
"YBL078C","GO:1905153"
"YBL078C","GO:0000421"
"YBL078C","GO:0000422"
"YBL078C","GO:0005515"
"YBL078C","GO:0005737"
"YBL078C","GO:0005739"
"YBL078C","GO:0005773"
"YBL081W","GO:0003674"
"YBL081W","GO:0005575"
"YBL081W","GO:0008150"
"YBL082C","GO:0000030"
"YBL082C","GO:0016757"
"YBL082C","GO:0052925"
"YBL082C","GO:0000033"
"YBL082C","GO:0005783"
"YBL082C","GO:0005789"
"YBL082C","GO:0006486"
"YBL082C","GO:0006490"
"YBL082C","GO:0016020"
"YBL082C","GO:0016021"
"YBL082C","GO:0016740"
"YBL085W","GO:0000920"
"YBL085W","GO:0005933"
"YBL085W","GO:0005935"
"YBL085W","GO:0007015"
"YBL085W","GO:0007032"
"YBL085W","GO:0007118"
"YBL085W","GO:0030427"
"YBL085W","GO:0042147"
"YBL085W","GO:0043332"
"YBL085W","GO:0055037"
"YBL085W","GO:0001881"
"YBL085W","GO:0005515"
"YBL085W","GO:0005543"
"YBL085W","GO:0005737"
"YBL085W","GO:0005769"
"YBL085W","GO:0005802"
"YBL085W","GO:0005829"
"YBL085W","GO:0005886"
"YBL087C","GO:0002181"
"YBL087C","GO:1990904"
"YBL087C","GO:0003735"
"YBL087C","GO:0005634"
"YBL087C","GO:0005737"
"YBL087C","GO:0005829"
"YBL087C","GO:0005840"
"YBL087C","GO:0006412"
"YBL087C","GO:0022625"
"YBL087C","GO:0070180"
"YBL092W","GO:0002181"
"YBL092W","GO:0003735"
"YBL092W","GO:0005737"
"YBL092W","GO:0005829"
"YBL092W","GO:0005840"
"YBL092W","GO:0006412"
"YBL092W","GO:0022625"
"YBL092W","GO:1990904"
"YBL095W","GO:0003674"
"YBL095W","GO:0005739"
"YBL095W","GO:0005743"
"YBL095W","GO:0008150"
"YBL099W","GO:0000166"
"YBL099W","GO:0006811"
"YBL099W","GO:0015986"
"YBL099W","GO:0016020"
"YBL099W","GO:0016887"
"YBL099W","GO:0032559"
"YBL099W","GO:0042645"
"YBL099W","GO:0043531"
"YBL099W","GO:0045261"
"YBL099W","GO:0046034"
"YBL099W","GO:0046933"
