"Gene","GO"
"orf19.6271","GO:0003674"
"orf19.4532","GO:0003674"
"orf19.1911","GO:0003674"
"orf19.4061","GO:0003674"
"orf19.1555","GO:0003674"
"orf19.7111","GO:0003674"
"orf19.5850","GO:0003674"
"orf19.4596","GO:0003674"
"orf19.2256","GO:0003674"
"orf19.7642","GO:0003674"
"orf19.1336.2","GO:0003674"
"orf19.6264.3","GO:0003674"
"orf19.7322","GO:0003674"
"orf19.6075","GO:0003674"
"orf19.7504","GO:0003674"
"orf19.3008","GO:0003674"
"orf19.5204","GO:0003674"
"orf19.5812","GO:0003674"
"orf19.5231.2","GO:0003674"
"orf19.5011","GO:0003674"
"orf19.4820","GO:0003674"
"orf19.2007","GO:0003674"
"orf19.4593.1","GO:0003674"
"orf19.4981","GO:0003674"
"orf19.4230","GO:0003674"
"orf19.544.1","GO:0003674"
"orf19.3004","GO:0003674"
"orf19.5683","GO:0003674"
"orf19.3312","GO:0003674"
"orf19.6554","GO:0003674"
"orf19.4763","GO:0003674"
"orf19.1574","GO:0003674"
"orf19.1708","GO:0003674"
"orf19.7631","GO:0003674"
"orf19.1338","GO:0003674"
"orf19.4036","GO:0003674"
"orf19.5356","GO:0003674"
"orf19.3973","GO:0003674"
"orf19.7041","GO:0003674"
"orf19.2047","GO:0003674"
"orf19.2167","GO:0003674"
"orf19.588","GO:0003674"
"orf19.6324","GO:0003674"
"orf19.95","GO:0003674"
"orf19.6642","GO:0003674"
"orf19.697","GO:0003674"
"orf19.5896","GO:0003674"
"orf19.4530.1","GO:0003674"
"orf19.2362","GO:0003674"
"orf19.3568","GO:0003674"
"orf19.5821","GO:0003674"
"orf19.6175","GO:0003674"
"orf19.6496","GO:0003674"
"orf19.669","GO:0003674"
"orf19.5534","GO:0003674"
"orf19.4013","GO:0003674"
"orf19.3076","GO:0003674"
"orf19.709","GO:0003674"
"orf19.4220","GO:0003674"
"orf19.5688","GO:0003674"
"orf19.6736","GO:0003674"
"orf19.81","GO:0003674"
"orf19.6648","GO:0003674"
"orf19.2322.3","GO:0003674"
"orf19.1066","GO:0003674"
"orf19.36","GO:0003674"
"orf19.5155","GO:0003674"
"orf19.4032","GO:0003674"
"orf19.3806","GO:0003674"
"orf19.2012","GO:0003674"
"orf19.7567","GO:0003674"
"orf19.1956","GO:0003674"
"orf19.4341","GO:0003674"
"orf19.3691","GO:0003674"
"orf19.6660","GO:0003674"
"orf19.5566","GO:0003674"
"orf19.5009","GO:0003674"
"orf19.3663.1","GO:0003674"
"orf19.6597","GO:0003674"
"orf19.6356","GO:0003674"
"orf19.7228","GO:0003674"
"orf19.5663","GO:0003674"
"orf19.3647","GO:0003674"
"orf19.3027","GO:0003674"
"orf19.2412","GO:0003674"
"orf19.4582","GO:0003674"
"orf19.6094","GO:0003674"
"orf19.3015","GO:0003674"
"orf19.3287","GO:0003674"
"orf19.248","GO:0003674"
"orf19.7199","GO:0003674"
"orf19.5365","GO:0003674"
"orf19.5884","GO:0003674"
"orf19.474","GO:0003674"
"orf19.486","GO:0003674"
"orf19.3051","GO:0003674"
"orf19.50","GO:0003674"
"orf19.1203","GO:0003674"
"orf19.1658","GO:0003674"
"orf19.6293","GO:0003674"
"orf19.184","GO:0003674"
"orf19.6763","GO:0003674"
"orf19.3778","GO:0003674"
"orf19.5014","GO:0003674"
"orf19.314","GO:0003674"
"orf19.1782","GO:0003674"
"orf19.4131","GO:0003674"
"orf19.6062.3","GO:0003674"
"orf19.1388","GO:0003674"
"orf19.6399","GO:0003674"
"orf19.5642","GO:0003674"
"orf19.154","GO:0003674"
"orf19.2965.1","GO:0003674"
"orf19.210","GO:0003674"
"orf19.4756","GO:0003674"
"orf19.275","GO:0016787"
"orf19.5994","GO:0016787"
"orf19.5734","GO:0016787"
"orf19.754","GO:0016787"
"orf19.5604","GO:0016787"
"orf19.4160","GO:0016787"
"orf19.577","GO:0016787"
"orf19.6591","GO:0016787"
"orf19.4107","GO:0016787"
"orf19.5614","GO:0016787"
"orf19.4192","GO:0016787"
