orth_group,num,B,X0.5,X1,X1.5,X2,X3,X4,X6,X8
51,3,0.033290375,0.029222467,0.023434083,0.020029957,0.013884884,0.011607883,0.014018811,0.010415485,0.013928854
52,1,0.54813687,8.027484415,5.763212605,2.675151035,4.756845578,10.58801275,12.25569552,12.23444543,8.918393645
53,1,0.244911003,0.291454262,0.351572997,0.324104467,0.289500029,0.360852956,0.42330922,0.510802512,0.581750135
53,2,0.447606446,0.089851189,0.10522899,0.152217955,0.185111455,0.218364181,0.271928816,0.3228395,0.367053565
53,3,0.202866567,0.126879495,0.119357764,0.133438914,0.137402333,0.165724174,0.193807912,0.256264619,0.304873856
57,1,0.054788857,0.036907512,0.056197406,0.054850293,0.039975444,0.042048279,0.054664838,0.06949911,0.088677764
58,1,0.428007464,0.144021407,1.226359699,1.172576984,1.128856539,0.791737626,0.564353656,0.380944522,0.342462876
59,1,0.108828413,0.270347928,0.168840589,0.126894135,0.143651417,0.236949796,0.253575481,0.343999467,0.383064084
59,2,0.026292679,0.071860931,0.032464951,0.03277467,0.039877903,0.097693111,0.115671262,0.179317257,0.179923395
59,3,0.212584034,0.248974236,0.569840968,0.69268005,0.695770601,0.61769484,0.670536656,0.717587231,0.779378471
59,4,0.008610494,0.009796144,0.099536178,0.140280052,0.171148119,0.158377309,0.140825953,0.116842334,0.115491601
59,5,0.141382516,0.076786278,0.158625811,0.170363435,0.18117014,0.167459455,0.182099697,0.208274863,0.233585534
60,1,0.954287411,0.853024633,0.994425441,0.826259859,0.741739726,0.720799487,0.6548976,0.576930952,0.547664629
60,2,0.513330794,0.606921814,0.279691863,0.200457358,0.200386793,0.279091714,0.271668745,0.245826261,0.228599339
60,3,0.519013879,0.7821386,0.695980201,0.482069678,0.412334857,0.390349455,0.360354968,0.332591589,0.306119746
60,4,0.353279059,0.849162608,0.676876124,0.521095517,0.385728042,0.336197498,0.328451738,0.314878034,0.301741874
61,1,0.026821817,0.030488287,0.028918772,0.026030588,0.026204383,0.027066939,0.03032723,0.041251702,0.047265345
63,1,0.329374759,0.061546832,0.058548671,0.093765277,0.133723458,0.234417557,0.285553858,0.33125351,0.330995367
64,1,1.002685424,1.031627206,1.03122926,0.646873296,0.797018613,0.695818613,0.541502281,0.292252806,0.287441946
65,1,0.068887289,0.070903481,0.084870654,0.079390029,0.07242838,0.091067282,0.107139964,0.133178138,0.155876899
66,1,0.010923772,0.015563293,0.018319738,0.016365947,0.018895151,0.026806177,0.033541873,0.047133012,0.055699394
66,2,0.029187488,0.024155922,0.024101425,0.031635617,0.034387993,0.041998727,0.056373194,0.054938195,0.063705488
67,1,0.293850019,0.27088686,0.303648288,0.31655466,0.296951735,0.282400633,0.271629169,0.224553789,0.194003825
67,2,0.673051765,0.347022834,0.548537978,0.491254602,0.49232586,0.441932869,0.412094205,0.335121347,0.32157322
67,3,0.268550961,0.178640981,0.377160196,0.391767953,0.367805514,0.366906262,0.351196824,0.337591246,0.315739197
67,4,0.340361448,0.283167574,0.32931452,0.460049297,0.462372945,0.375144561,0.306955748,0.260335885,0.263863069
68,1,0.05690863,0.07741299,0.077514034,0.073844705,0.073221202,0.098858672,0.1075515,0.120264219,0.166873309
69,1,0.032226417,0.096806184,0.065013208,0.049240578,0.060113641,0.121982604,0.111097011,0.115216635,0.129489117
71,1,0.572723832,0.334193866,0.609984534,0.543451055,0.525047504,0.336985085,0.36000732,0.34712755,0.363237117
71,2,0.283021425,0.348149704,0.246226239,0.210154712,0.191208711,0.228357865,0.219090402,0.187507634,0.162691416
71,3,0.391013861,0.653836124,0.356481276,0.312645772,0.349097922,0.333372002,0.316295855,0.300756909,0.276023715
71,4,0.280904623,0.445714588,0.349541047,0.30957531,0.28758018,0.348543657,0.334108951,0.334568861,0.316594599
72,1,0.029372617,0.044089528,0.033099669,0.032087105,0.028849522,0.043041395,0.053694807,0.047796809,0.041429276
73,1,0.070173321,0.077916136,0.079254505,0.080235224,0.092387552,0.097447369,0.109845611,0.078977509,0.099773013
74,1,0.087071882,0.190785146,0.135073891,0.104810723,0.134189919,0.20753125,0.201730695,0.259085057,0.210399271
74,2,0.143636475,0.166911692,0.077913094,0.058773839,0.061125687,0.095380102,0.105251107,0.13124115,0.132802937
74,3,0.09427417,0.093213602,0.128168698,0.123586994,0.123319946,0.123770234,0.128627781,0.137097808,0.143427255
75,1,0.392587179,0.381717763,0.41194541,0.33492107,0.296108056,0.249373417,0.223454897,0.204752447,0.239614054
75,2,0.152780321,0.12185777,0.19763354,0.109441489,0.082913241,0.067453113,0.074877451,0.070733492,0.066230594
75,3,0.297612448,0.471911995,0.048456311,0.054227347,0.083806824,0.108289918,0.122550085,0.138118637,0.185469125
75,4,0.067718998,0.472082917,0.277860237,0.114160717,0.087840654,0.212259316,0.211509286,0.182730625,0.18746149
